review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-00218c5a6133,Do not mutate protected token IMEI-356938035643809-R038 inside the posting draft case 38 (synthetic device id),IMEI-356938035643809-R038,,,,,,
V3R-0064c17be438,Enter HSN code in the tax panel without Devanagari rewrite (acr case 4),HSN,,,,,,
V3R-0081d5f50a9b,bholi samma rupiya baaki clear garnu,rupiya,,,,,,
V3R-00f4da88f0a7,review shared surface id in mixed shop note before close,id,,,,,,
V3R-010cdc75f551,check group once before posting — context unclear,group,,,,,,
V3R-01a333bb2557,Please update the warning field in the English settings panel,warning,,,,,,
V3R-01cedb54ea05,malik ji lejhar report pathaunuhos,lejhar,,,,,,
V3R-021bc5be5f22,chhaina ra paisa mismatch bhayo,chhaina,,,,,,
V3R-021c49e9be0a,please barsa update gardinu,barsa,,,,,,
V3R-0264cf7a9e96,aaja error ko hisab milaaidim ra baaki clear gara,error,,,,,,
V3R-027ef9eb005d,nafa ra paisa mismatch bhayo,nafa,,,,,,
V3R-02b906229029,maybe charge means English UI or Romanized Nepali — reviewer must decide (case 13),charge,,,,,,
V3R-02be7e764d99,check gate once before posting — context unclear,gate,,,,,,
V3R-03698d27a91a,Please update the copy field in the English settings panel,copy,,,,,,
V3R-039ebaaf8dfb,Customer Ajay Basnet paid by bank transfer yesterday (name case 45),Ajay,,,,,,
V3R-03e7c316d938,alignment challenge 49: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
V3R-0439e75cca16,check mail once before posting — context unclear,mail,,,,,,
V3R-04775eae1bb0,Do not mutate protected token SERIAL-SN-V3-0001-R049 inside the posting draft case 49 (synthetic serial),SERIAL-SN-V3-0001-R049,,,,,,
V3R-0497c6944f38,Please open the freight module and export the report,freight,,,,,,
V3R-04bfbfbe55a3,Please update the post field in the English settings panel,post,,,,,,
V3R-05099c0173b4,aaja bujhe hisab milaaidim please,bujhe,,,,,,
V3R-052617925a34,check column once before posting — context unclear,column,,,,,,
V3R-05611ef4a6b6,aaja select ko hisab milaaidim ra baaki clear gara,select,,,,,,
V3R-05f1a3f0daa2,Sync failed for reject queue — retry after backup,reject,,,,,,
V3R-060bef377cd5,review shared surface upc in mixed shop note before close,upc,,,,,,
V3R-0618b67c2c1d,check margin once before posting — context unclear,margin,,,,,,
V3R-0639d0d0795b,maybe box means English UI or Romanized Nepali — reviewer must decide (case 21),box,,,,,,
V3R-0642ba6e39d3,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R087 inside the posting draft case 87 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R087,,,,,,
V3R-069e7085c9f9,Create a draft capital and leave it unposted,capital,,,,,,
V3R-06a08a856039,Accounting staff asked about upi settings in Ask MokXya,upi,,,,,,
V3R-06a6b65e4022,branch ledger: import entry ra aaunu baaki milaaune,aaunu,,,,,,
V3R-06dc02c56ca2,check token once before posting — context unclear,token,,,,,,
V3R-06e8cf6759b4,Enter TCS code in the tax panel without Devanagari rewrite (acr case 33),TCS,,,,,,
V3R-072a9b32369c,Please update the rate field in the English settings panel,rate,,,,,,
V3R-0799772bcd73,malik ji receipt report pathaunuhos,receipt,,,,,,
V3R-079e4d9526fc,Keep vendor as Latin identity for the ERP toolbar label,vendor,,,,,,
V3R-07db98652ad6,alignment challenge 25: keep surface [“hisab”] intact (smart quotes),“hisab”,,,,,,
V3R-0894a64cd3e1,branch ledger: PAN entry ra nafa baaki milaaune,nafa,,,,,,
V3R-09168ed99749,aaja pricelist ko hisab milaaidim ra baaki clear gara,pricelist,,,,,,
V3R-095abc2c39be,branch ledger: password entry ra sano baaki milaaune,sano,,,,,,
V3R-0987f4d93ce9,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R097 inside the posting draft case 97 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R097,,,,,,
V3R-099d292bf876,bechyo ra paisa mismatch bhayo,bechyo,,,,,,
V3R-09efef57b721,check pricelist once before posting — context unclear,pricelist,,,,,,
V3R-0a71c2c87491,Enter Q3 code in the tax panel without Devanagari rewrite (acr case 40),Q3,,,,,,
V3R-0ac58d1ae55b,branch ledger: allowance entry ra hisab baaki milaaune,allowance,,,,,,
V3R-0b5093480f6d,malik ji pugcha report pathaunuhos,pugcha,,,,,,
V3R-0b57f9ce0b0c,alignment challenge 20: keep surface [café] intact (combining acute),café,,,,,,
V3R-0b61abde5a09,aaja label ko hisab milaaidim ra baaki clear gara,label,,,,,,
V3R-0b71812e2948,Please update the duty field in the English settings panel,duty,,,,,,
V3R-0ba86feaf70c,Please open the proforma module and export the report,proforma,,,,,,
V3R-0bc25bb626df,Please update the series field in the English settings panel,series,,,,,,
V3R-0bc765dc3217,maybe token means English UI or Romanized Nepali — reviewer must decide (case 39),token,,,,,,
V3R-0bcd8720cae6,Please update the alert field in the English settings panel,alert,,,,,,
V3R-0c28d238da3f,aaja info ko hisab milaaidim ra baaki clear gara,info,,,,,,
V3R-0ca95c314379,aaja print ko hisab milaaidim ra baaki clear gara,print,,,,,,
V3R-0cf80c36ba1e,aaja bholi hisab milaaidim please,bholi,,,,,,
V3R-0d2774a2522a,check bag once before posting — context unclear,bag,,,,,,
V3R-0d67ecc96d9d,Please update the role field in the English settings panel,role,,,,,,
V3R-0d87bf6f49e8,Create a draft INR and leave it unposted,INR,,,,,,
V3R-0dbca7ecd857,Do not mutate protected token TXN-SYN-778899-R044 inside the posting draft case 44 (synthetic transaction token),TXN-SYN-778899-R044,,,,,,
V3R-0dbcb8651c18,Customer Bikash Thapa paid by bank transfer yesterday (name case 4),Bikash,,,,,,
V3R-0dc9a80ab164,aaja ratecard ko hisab milaaidim ra baaki clear gara,ratecard,,,,,,
V3R-0dcb06beae23,aaja path ko hisab milaaidim ra baaki clear gara,path,,,,,,
V3R-0e0b0a65d101,malik ji balance report pathaunuhos,balance,,,,,,
V3R-0e3b317cffaf,branch ledger: approve entry ra kinabhane baaki milaaune,kinabhane,,,,,,
V3R-0e3bc4b40c92,branch ledger: restore entry ra thulo baaki milaaune,restore,,,,,,
V3R-0e582cac8426,alignment challenge 21: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-0e64dadd4691,review shared surface batchno in mixed shop note before close,batchno,,,,,,
V3R-0f0340d1992a,Please update the check field in the English settings panel,check,,,,,,
V3R-0f64bb03f9c8,grahak le usko bare sodheko cha,usko,,,,,,
V3R-0febae582a7a,aaja sabai hisab milaaidim please,sabai,,,,,,
V3R-10adcabef4b3,alignment challenge 15: keep surface [“hisab”] intact (smart quotes),“hisab”,,,,,,
V3R-10db44cb7d22,Please update the miss field in the English settings panel,miss,,,,,,
V3R-10fbcb3973e8,check post once before posting — context unclear,post,,,,,,
V3R-1111d94459ab,aaja bank ko hisab milaaidim ra baaki clear gara,bank,,,,,,
V3R-1185b3a0bbdc,Do not mutate protected token ACC-SYN-100200-R062 inside the posting draft case 62 (synthetic account token),ACC-SYN-100200-R062,,,,,,
V3R-11887d380687,Sync failed for dc queue — retry after backup,dc,,,,,,
V3R-11f6bd335cce,Customer Roshan Dhakal paid by bank transfer yesterday (name case 22),Roshan,,,,,,
V3R-1235429b94ad,alignment challenge 40: keep surface [café] intact (combining acute),café,,,,,,
V3R-1239bc9e2d68,review shared surface challan in mixed shop note before close,challan,,,,,,
V3R-12925973cd86,grahak le nafa bare sodheko cha,nafa,,,,,,
V3R-12b4b14fa840,grahak le thiyo bare sodheko cha,thiyo,,,,,,
V3R-12b6ee593252,check batch once before posting — context unclear,batch,,,,,,
V3R-12c9bd050735,Please update the query field in the English settings panel,query,,,,,,
V3R-1355714c8fea,yo bechyo last week ko ho,bechyo,,,,,,
V3R-141daa807148,branch ledger: fiscal entry ra mero baaki milaaune,fiscal,,,,,,
V3R-14481080134f,hijo ko huncha entry check gara,huncha,,,,,,
V3R-14594b3c9cdd,maybe account means English UI or Romanized Nepali — reviewer must decide (case 12),account,,,,,,
V3R-1466dbc88039,yo cash last week ko ho,cash,,,,,,
V3R-14c292946050,aaja option ko hisab milaaidim ra baaki clear gara,option,,,,,,
V3R-14ff3d11442c,aaja miss ko hisab milaaidim ra baaki clear gara,miss,,,,,,
V3R-1532ed22d4f7,Please update the cash field in the English settings panel,cash,,,,,,
V3R-1577362c641b,Enter PAN code in the tax panel without Devanagari rewrite (acr case 0),PAN,,,,,,
V3R-15957082f1e5,Sync failed for rate queue — retry after backup,rate,,,,,,
V3R-15b20b76bb2c,yo huncha last week ko ho,huncha,,,,,,
V3R-15bfa84ee928,The warehouse status must remain pending until confirm,warehouse,,,,,,
V3R-15d1a0ca96a4,yo kasto last week ko ho,kasto,,,,,,
V3R-15d9a8df8fff,maybe order means English UI or Romanized Nepali — reviewer must decide (case 5),order,,,,,,
V3R-15e843093ef5,hijo ko baaki entry check gara,baaki,,,,,,
V3R-15f4f8783a9d,aaja hit ko hisab milaaidim ra baaki clear gara,hit,,,,,,
V3R-161551472219,check field once before posting — context unclear,field,,,,,,
V3R-166cf48d002a,check hit once before posting — context unclear,hit,,,,,,
V3R-168f0b7a4e8d,yo lai last week ko ho,lai,,,,,,
V3R-169092a3f393,Customer Puja Acharya paid by bank transfer yesterday (name case 42),Puja,,,,,,
V3R-16c663f9d664,Accounting staff asked about rounding settings in Ask MokXya,rounding,,,,,,
V3R-173d9e208345,Enter Q2 code in the tax panel without Devanagari rewrite (acr case 39),Q2,,,,,,
V3R-17a108d72f9c,check ratecard once before posting — context unclear,ratecard,,,,,,
V3R-183968bcd986,Do not transliterate the word godown in this English sentence,godown,,,,,,
V3R-187e4966bd52,maybe post means English UI or Romanized Nepali — reviewer must decide (case 10),post,,,,,,
V3R-197a0ffed939,Sync failed for employee queue — retry after backup,employee,,,,,,
V3R-19c44530ff9f,malik ji garaidim report pathaunuhos,garaidim,,,,,,
V3R-1a0eee708ed0,grahak le naramro bare sodheko cha,naramro,,,,,,
V3R-1a857445b535,Do not mutate protected token ACC-SYN-100200-R032 inside the posting draft case 32 (synthetic account token),ACC-SYN-100200-R032,,,,,,
V3R-1ac0ee8729f3,Filter by module then print the ledger summary,module,,,,,,
V3R-1ac30fcb3f8c,alignment challenge 34: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-1afc02d409cf,please noksan update gardinu,noksan,,,,,,
V3R-1b2ebe1c5045,check right once before posting — context unclear,right,,,,,,
V3R-1b8efb51b464,please ke update gardinu,ke,,,,,,
V3R-1c1d05694d37,branch ledger: amortization entry ra aile baaki milaaune,amortization,,,,,,
V3R-1c3816543e0f,review shared surface tin in mixed shop note before close,tin,,,,,,
V3R-1c79ef48a0cc,Please update the policy field in the English settings panel,policy,,,,,,
V3R-1c872392d747,aaja field ko hisab milaaidim ra baaki clear gara,field,,,,,,
V3R-1cdf849fb77e,Enter Q4 code in the tax panel without Devanagari rewrite (acr case 11),Q4,,,,,,
V3R-1d7824c9cbb9,check path once before posting — context unclear,path,,,,,,
V3R-1db3e0ff6e26,Create a draft settings and leave it unposted,settings,,,,,,
V3R-1de0c77555f8,Please update the ticket field in the English settings panel,ticket,,,,,,
V3R-1e0dfdddc297,check query once before posting — context unclear,query,,,,,,
V3R-1e228c00b2b5,Sync failed for GST queue — retry after backup,GST,,,,,,
V3R-1e546a8aa0b0,Please update the peak field in the English settings panel,peak,,,,,,
V3R-1e735c3522dc,Customer Rina Koirala paid by bank transfer yesterday (name case 44),Rina,,,,,,
V3R-1e96e5c73830,Keep provision as Latin identity for the ERP toolbar label,provision,,,,,,
V3R-1e9c9e13fef3,aaja margin ko hisab milaaidim ra baaki clear gara,margin,,,,,,
V3R-1f12d1e2327d,Please update the schedule field in the English settings panel,schedule,,,,,,
V3R-1f7de5524dfb,aaja node ko hisab milaaidim ra baaki clear gara,node,,,,,,
V3R-1f81dc25eaf2,aaja rule ko hisab milaaidim ra baaki clear gara,rule,,,,,,
V3R-1fb77bbc3a8b,check select once before posting — context unclear,select,,,,,,
V3R-20425e707edd,check peak once before posting — context unclear,peak,,,,,,
V3R-212fa13ccf73,aaja note ko hisab milaaidim ra baaki clear gara,note,,,,,,
V3R-214382c64ecd,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R047 inside the posting draft case 47 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R047,,,,,,
V3R-2169f2bad4c7,Do not mutate protected token PAN-A1B2C3D4E5-R040 inside the posting draft case 40 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R040,,,,,,
V3R-216ddbcee49f,branch ledger: annual entry ra tapai baaki milaaune,annual,,,,,,
V3R-21a1ea87f535,Filter by depreciation then print the ledger summary,depreciation,,,,,,
V3R-21acb96fc040,Enter PAN code in the tax panel without Devanagari rewrite (acr case 30),PAN,,,,,,
V3R-21ada34396f3,Please update the account field in the English settings panel,account,,,,,,
V3R-21b5c0176eee,aaja key ko hisab milaaidim ra baaki clear gara,key,,,,,,
V3R-21c78a5d6c36,Customer Gita Sharma paid by bank transfer yesterday (name case 53),Gita,,,,,,
V3R-21d34e0edec3,Keep wallet as Latin identity for the ERP toolbar label,wallet,,,,,,
V3R-220eb6da6fd7,Do not transliterate the word carryforward in this English sentence,carryforward,,,,,,
