review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-005f0d885452,aaja charge ko hisab milaaidim ra baaki clear gara,charge,,,,,,
V3R-00b049496747,Customer Sarita Bhandari paid by bank transfer yesterday (name case 38),Sarita,,,,,,
V3R-00e1a6b2c485,malik ji beluka report pathaunuhos,beluka,,,,,,
V3R-01b165bbb6d9,aaja bhayo hisab milaaidim please,bhayo,,,,,,
V3R-0228b15c15f1,check notice once before posting — context unclear,notice,,,,,,
V3R-022f92b2f099,bholi samma cha baaki clear garnu,cha,,,,,,
V3R-02b46bc17fe2,yo kasto last week ko ho,kasto,,,,,,
V3R-0328699192b8,Customer Ram Bahadur paid by bank transfer yesterday (name case 25),Ram,,,,,,
V3R-0334266d872a,check box once before posting — context unclear,box,,,,,,
V3R-0356a9532784,please cheque update gardinu,cheque,,,,,,
V3R-0358d29a8cb4,branch ledger: reconcile entry ra paisa baaki milaaune,paisa,,,,,,
V3R-037fddf43965,branch ledger: carryforward entry ra samma baaki milaaune,carryforward,,,,,,
V3R-038fc9a5ea72,maybe debit means English UI or Romanized Nepali — reviewer must decide (case 15),debit,,,,,,
V3R-040b063c27e0,branch ledger: credit entry ra hapta baaki milaaune,credit,,,,,,
V3R-042efb137b73,Please update the clause field in the English settings panel,clause,,,,,,
V3R-0467369b5020,aaja sort ko hisab milaaidim ra baaki clear gara,sort,,,,,,
V3R-047af11fbd70,bholi samma bill baaki clear garnu,bill,,,,,,
V3R-0558df0dfb62,Customer Dipesh Rai paid by bank transfer yesterday (name case 10),Dipesh,,,,,,
V3R-05ba6e70581f,bholi samma kahile baaki clear garnu,kahile,,,,,,
V3R-0644fd1785c7,alignment challenge 28: keep surface [½] intact (vulgar fraction),½,,,,,,
V3R-065199278f5f,Customer Prakash Adhikari paid by bank transfer yesterday (name case 58),Prakash,,,,,,
V3R-0690846f264d,kinabhane ra paisa mismatch bhayo,kinabhane,,,,,,
V3R-06a74cb48685,aaja udharo hisab milaaidim please,udharo,,,,,,
V3R-0729c22f8a84,maybe cash means English UI or Romanized Nepali — reviewer must decide (case 0),cash,,,,,,
V3R-074044a865bc,aaja minute ko hisab milaaidim ra baaki clear gara,minute,,,,,,
V3R-077953b4e337,malik ji chaina report pathaunuhos,chaina,,,,,,
V3R-084844dd395d,Filter by grn then print the ledger summary,grn,,,,,,
