review_id,input_text,highlighted_span,span_class,preferred_rank_policy,devanagari_retention,confidence,reasoning
R3A-39CE6CDF4E01,by,by,,,,,
R3A-D928292459B8,foobar,foobar,,,,,
R3A-5F1F96BF1D8A,namaste,namaste,,,,,
R3A-E4A4DA896D92,debit,debit,,,,,
R3A-E5A7E27F52DC,is,is,,,,,
R3A-08D2D9E18C3E,foobar,foobar,,,,,
R3A-347C5BF89E23,dhanyabad,dhanyabad,,,,,
R3A-2D51C4838C53,of,of,,,,,
R3A-70E44521539E,qwerty,qwerty,,,,,
R3A-3E876C1291B7,qwerty,qwerty,,,,,
R3A-39EB0539DAC9,purchase,purchase,,,,,
R3A-A5F31D8C84CB,jaanu,jaanu,,,,,
R3A-CC3C5545DFF2,sale,sale,,,,,
R3A-CDED5E4068C3,advance,advance,,,,,
R3A-FD1643D2A572,xyzzy,xyzzy,,,,,
R3A-CBCF674A4003,report,report,,,,,
R3A-D81C5B5C3197,due,due,,,,,
R3A-2CAD17A31352,total,total,,,,,
R3A-C55159DEA9B4,balance,balance,,,,,
R3A-6D65C017CF24,lekh,lekh,,,,,
R3A-433EDC9F6C5E,dherai,dherai,,,,,
R3A-79B012C03064,sabai,sabai,,,,,
R3A-589DC1F8F577,voucher,voucher,,,,,
R3A-249ADDBC500F,amount,amount,,,,,
R3A-C7D45E4B6625,znxg,znxg,,,,,
R3A-1ECE91757DA9,blorp,blorp,,,,,
R3A-1E521567ADDA,mary,mary,,,,,
R3A-F3D8DE0BFE22,xyzzy,xyzzy,,,,,
R3A-BA4616E7C135,owner,owner,,,,,
R3A-52B1B116547F,anita,anita,,,,,
R3A-DEC366606C62,ram,ram,,,,,
R3A-E835A1D01157,gita,gita,,,,,
R3A-F16AFA9E4AC3,kineko,kineko,,,,,
R3A-2573D516AAC5,sunnu,sunnu,,,,,
R3A-11C576A29373,loss,loss,,,,,
R3A-458970948EDF,unit,unit,,,,,
R3A-B4C60C073F8C,supplier,supplier,,,,,
R3A-CFE4B5AA9EC9,aja,aja,,,,,
R3A-8C7D6F3ED27B,preeti,preeti,,,,,
R3A-DD00E9658A07,garidim,garidim,,,,,
R3A-19BD164EF09F,ledger,ledger,,,,,
R3A-746D07D2BE40,dekhau,dekhau,,,,,
R3A-2DC856D4D6FF,xu,xu,,,,,
R3A-1C07AF58CC39,ram dai aayo,ram,,,,,
R3A-0A1601A427F9,znxg,znxg,,,,,
R3A-9DD5A68A1E47,thana,thana,,,,,
