opaque_review_id,input_text,highlighted_span,context_note,disposition,confidence,reviewer_notes
"R3M-096119cabe0fe7cc","Accounting staff asked about ledger settings in Ask MokXya","ledger","Neutral triage sample. Assign disposition independently.","","",""
"R3M-3ac0f8c2ec213e48","Accounting staff asked about customer settings in Ask MokXya","customer","Neutral triage sample. Assign disposition independently.","","",""
"R3M-a3997caad63dbc0e","Keep vendor as Latin identity for the ERP toolbar label","vendor","Neutral triage sample. Assign disposition independently.","","",""
"R3M-9bc2635ba2552d80","Keep budget as Latin identity for the ERP toolbar label","budget","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d7c763e41e46787b","Accounting staff asked about tax settings in Ask MokXya","tax","Neutral triage sample. Assign disposition independently.","","",""
"R3M-5b4c9b42a51f0473","branch ledger: VAT entry ra aamdani baaki milaaune","VAT","Neutral triage sample. Assign disposition independently.","","",""
"R3M-3cdb6fa080528f98","Please update the bill field in the English settings panel","bill","Neutral triage sample. Assign disposition independently.","","",""
"R3M-50ab7c0d59352c9b","Please open the invoice module and export the report","invoice","Neutral triage sample. Assign disposition independently.","","",""
"R3M-059fa0a8e0c1c331","Do not transliterate the word voucher in this English sentence","voucher","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e2ab68d080322e20","branch ledger: profit entry ra jabaj baaki milaaune","jabaj","Neutral triage sample. Assign disposition independently.","","",""
"R3M-169997da1b02f69f","grahak le jabaj bare sodheko cha","jabaj","Neutral triage sample. Assign disposition independently.","","",""
"R3M-f0cbe6c45edcecff","jabaj ra paisa mismatch bhayo","jabaj","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d43c9025fd44a3a7","branch ledger: adjustment entry ra pachi baaki milaaune","pachi","Neutral triage sample. Assign disposition independently.","","",""
"R3M-28949f9a6419c1c3","branch ledger: pending entry ra tyasari baaki milaaune","tyasari","Neutral triage sample. Assign disposition independently.","","",""
"R3M-b8e6a96d40e07aa3","branch ledger: monthly entry ra hajurko baaki milaaune","hajurko","Neutral triage sample. Assign disposition independently.","","",""
"R3M-81a9d0956e9c549c","branch ledger: invoice entry ra aaja baaki milaaune","invoice","Neutral triage sample. Assign disposition independently.","","",""
"R3M-8534c3a74f32c9c7","branch ledger: PAN entry ra nafa baaki milaaune","nafa","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d173d7c5e1d57077","branch ledger: voucher entry ra bholi baaki milaaune","voucher","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2a7e9be1356158ba","branch ledger: template entry ra kehi baaki milaaune","kehi","Neutral triage sample. Assign disposition independently.","","",""
"R3M-3facaec410e002a7","branch ledger: customer entry ra thaha baaki milaaune","thaha","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d361342c0acee789","branch ledger: debit entry ra raati baaki milaaune","raati","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6478b1bcc6969a59","branch ledger: discount entry ra pathau baaki milaaune","pathau","Neutral triage sample. Assign disposition independently.","","",""
"R3M-ff8a0b170645382f","branch ledger: approve entry ra kinabhane baaki milaaune","kinabhane","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6b43dca9d0ac39c0","branch ledger: transport entry ra suna baaki milaaune","suna","Neutral triage sample. Assign disposition independently.","","",""
"R3M-74dd050de01b762c","branch ledger: ledger entry ra bihana baaki milaaune","bihana","Neutral triage sample. Assign disposition independently.","","",""
"R3M-292dbfdb24a5c71d","aaja menu ko hisab milaaidim ra baaki clear gara","menu","Neutral triage sample. Assign disposition independently.","","",""
"R3M-dfa65faf99a598be","aaja access ko hisab milaaidim ra baaki clear gara","access","Neutral triage sample. Assign disposition independently.","","",""
"R3M-01f802bcacafeb34","aaja token ko hisab milaaidim ra baaki clear gara","token","Neutral triage sample. Assign disposition independently.","","",""
"R3M-71dc6afb289cd073","aaja graph ko hisab milaaidim ra baaki clear gara","graph","Neutral triage sample. Assign disposition independently.","","",""
"R3M-b51a01c868a0d771","aaja copy ko hisab milaaidim ra baaki clear gara","copy","Neutral triage sample. Assign disposition independently.","","",""
"R3M-34ff76090f788666","aaja return ko hisab milaaidim ra baaki clear gara","return","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e67620d84cdc239c","aaja role ko hisab milaaidim ra baaki clear gara","role","Neutral triage sample. Assign disposition independently.","","",""
"R3M-41a99375b75d8c38","aaja pass ko hisab milaaidim ra baaki clear gara","pass","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2b27803eb5f555b4","aaja warning ko hisab milaaidim ra baaki clear gara","warning","Neutral triage sample. Assign disposition independently.","","",""
"R3M-4848d49b42570ca2","aaja peak ko hisab milaaidim ra baaki clear gara","peak","Neutral triage sample. Assign disposition independently.","","",""
"R3M-c02c266602dc352d","aaja passbook ko hisab milaaidim ra baaki clear gara","passbook","Neutral triage sample. Assign disposition independently.","","",""
"R3M-a6c7a7746bfd5b44","aaja state ko hisab milaaidim ra baaki clear gara","state","Neutral triage sample. Assign disposition independently.","","",""
"R3M-9a2e94d6dfd17be0","aaja entry ko hisab milaaidim ra baaki clear gara","entry","Neutral triage sample. Assign disposition independently.","","",""
"R3M-246bad642f153e8d","aaja margin ko hisab milaaidim ra baaki clear gara","margin","Neutral triage sample. Assign disposition independently.","","",""
"R3M-54fc220f541364f8","aaja stamp ko hisab milaaidim ra baaki clear gara","stamp","Neutral triage sample. Assign disposition independently.","","",""
"R3M-c29c9be4f6f7277b","aaja label ko hisab milaaidim ra baaki clear gara","label","Neutral triage sample. Assign disposition independently.","","",""
"R3M-13e05e7d795a364b","aaja cell ko hisab milaaidim ra baaki clear gara","cell","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d44774a4cb77ed9b","aaja scan ko hisab milaaidim ra baaki clear gara","scan","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6ee70aa287162f51","aaja charge ko hisab milaaidim ra baaki clear gara","charge","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1dd7f52ca1648c99","aaja info ko hisab milaaidim ra baaki clear gara","info","Neutral triage sample. Assign disposition independently.","","",""
"R3M-b5178d1592aea978","aaja result ko hisab milaaidim ra baaki clear gara","result","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e3de2787287682da","aaja path ko hisab milaaidim ra baaki clear gara","path","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6109813ca2a61ddf","aaja list ko hisab milaaidim ra baaki clear gara","list","Neutral triage sample. Assign disposition independently.","","",""
"R3M-ad25867b450fa517","aaja edge ko hisab milaaidim ra baaki clear gara","edge","Neutral triage sample. Assign disposition independently.","","",""
"R3M-a8aa4f5a1693f8fe","aaja book ko hisab milaaidim ra baaki clear gara","book","Neutral triage sample. Assign disposition independently.","","",""
"R3M-15a9474862fad90b","aaja permission ko hisab milaaidim ra baaki clear gara","permission","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2bc8198235d087f9","aaja rate ko hisab milaaidim ra baaki clear gara","rate","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1e9de88833980278","aaja memo ko hisab milaaidim ra baaki clear gara","memo","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6e0b66e3a1d303eb","aaja form ko hisab milaaidim ra baaki clear gara","form","Neutral triage sample. Assign disposition independently.","","",""
"R3M-325f32c87c3f6586","aaja schedule ko hisab milaaidim ra baaki clear gara","schedule","Neutral triage sample. Assign disposition independently.","","",""
"R3M-19818a25d4875d6e","aaja root ko hisab milaaidim ra baaki clear gara","root","Neutral triage sample. Assign disposition independently.","","",""
"R3M-aa38ba8ca6f8659f","aaja draft ko hisab milaaidim ra baaki clear gara","draft","Neutral triage sample. Assign disposition independently.","","",""
"R3M-7c256f73738d3855","aaja error ko hisab milaaidim ra baaki clear gara","error","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d6dc530468e02c7b","aaja clause ko hisab milaaidim ra baaki clear gara","clause","Neutral triage sample. Assign disposition independently.","","",""
"R3M-5bcc5f17de3dd5ed","aaja upload ko hisab milaaidim ra baaki clear gara","upload","Neutral triage sample. Assign disposition independently.","","",""
"R3M-f7ae688fee8257c1","aaja condition ko hisab milaaidim ra baaki clear gara","condition","Neutral triage sample. Assign disposition independently.","","",""
"R3M-dacf8245acfe7065","aaja pricelist ko hisab milaaidim ra baaki clear gara","pricelist","Neutral triage sample. Assign disposition independently.","","",""
"R3M-0e4f9971ce10008b","aaja card ko hisab milaaidim ra baaki clear gara","card","Neutral triage sample. Assign disposition independently.","","",""
"R3M-3636179538793cf0","aaja type ko hisab milaaidim ra baaki clear gara","type","Neutral triage sample. Assign disposition independently.","","",""
"R3M-479fc3eb767d6982","aaja sheet ko hisab milaaidim ra baaki clear gara","sheet","Neutral triage sample. Assign disposition independently.","","",""
"R3M-587095def172715e","aaja sort ko hisab milaaidim ra baaki clear gara","sort","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2e75d7414050f295","aaja share ko hisab milaaidim ra baaki clear gara","share","Neutral triage sample. Assign disposition independently.","","",""
"R3M-a164fabb404bdbea","aaja download ko hisab milaaidim ra baaki clear gara","download","Neutral triage sample. Assign disposition independently.","","",""
"R3M-f6a0d370e96db599","aaja limit ko hisab milaaidim ra baaki clear gara","limit","Neutral triage sample. Assign disposition independently.","","",""
"R3M-9fb9b9b9241ee814","aaja agenda ko hisab milaaidim ra baaki clear gara","agenda","Neutral triage sample. Assign disposition independently.","","",""
"R3M-a9e5b64a639a4707","aaja check ko hisab milaaidim ra baaki clear gara","check","Neutral triage sample. Assign disposition independently.","","",""
"R3M-97aa30b6ec0f2616","aaja search ko hisab milaaidim ra baaki clear gara","search","Neutral triage sample. Assign disposition independently.","","",""
"R3M-f484fcf214772866","aaja mark ko hisab milaaidim ra baaki clear gara","mark","Neutral triage sample. Assign disposition independently.","","",""
"R3M-19b12d658b522e73","aaja order ko hisab milaaidim ra baaki clear gara","order","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1951f5fdad509692","aaja miss ko hisab milaaidim ra baaki clear gara","miss","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6d4f7a0dcd3cb26b","aaja post ko hisab milaaidim ra baaki clear gara","post","Neutral triage sample. Assign disposition independently.","","",""
"R3M-485cbfd1160d9a91","aaja term ko hisab milaaidim ra baaki clear gara","term","Neutral triage sample. Assign disposition independently.","","",""
"R3M-8291387377fcbd13","aaja note ko hisab milaaidim ra baaki clear gara","note","Neutral triage sample. Assign disposition independently.","","",""
"R3M-bc99efd5b886aed5","aaja seal ko hisab milaaidim ra baaki clear gara","seal","Neutral triage sample. Assign disposition independently.","","",""
"R3M-0c41405fcebb65b5","aaja minute ko hisab milaaidim ra baaki clear gara","minute","Neutral triage sample. Assign disposition independently.","","",""
"R3M-847e282d648d9a4e","aaja floor ko hisab milaaidim ra baaki clear gara","floor","Neutral triage sample. Assign disposition independently.","","",""
"R3M-be65cf786be43d90","aaja gate ko hisab milaaidim ra baaki clear gara","gate","Neutral triage sample. Assign disposition independently.","","",""
"R3M-bb6ee2021cd40629","aaja batch ko hisab milaaidim ra baaki clear gara","batch","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e270b7b787b6d028","aaja account ko hisab milaaidim ra baaki clear gara","account","Neutral triage sample. Assign disposition independently.","","",""
"R3M-66bb5169a5903f49","aaja duty ko hisab milaaidim ra baaki clear gara","duty","Neutral triage sample. Assign disposition independently.","","",""
"R3M-985fb80093b60caf","aaja mode ko hisab milaaidim ra baaki clear gara","mode","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1bd8a6b4c55bf1ac","aaja slip ko hisab milaaidim ra baaki clear gara","slip","Neutral triage sample. Assign disposition independently.","","",""
"R3M-88da002a11d7e5f3","aaja ratecard ko hisab milaaidim ra baaki clear gara","ratecard","Neutral triage sample. Assign disposition independently.","","",""
