review_id,input_text,highlighted_span,candidate_index,candidate_surface,acceptability
R3A-39CE6CDF4E01,by,by,0,by,ACCEPTABLE_PREFERRED
R3A-D928292459B8,foobar,foobar,0,foobar,CANNOT_DECIDE
R3A-5F1F96BF1D8A,namaste,namaste,0,नमस्ते,ACCEPTABLE_PREFERRED
R3A-5F1F96BF1D8A,namaste,namaste,1,namaste,ACCEPTABLE_PREFERRED
R3A-E4A4DA896D92,debit,debit,0,debit,ACCEPTABLE_PREFERRED
R3A-E4A4DA896D92,debit,debit,1,डेबिट,ACCEPTABLE_PREFERRED
R3A-E5A7E27F52DC,is,is,0,is,ACCEPTABLE_PREFERRED
R3A-08D2D9E18C3E,foobar,foobar,0,foobar,UNNATURAL_BUT_POSSIBLE
R3A-347C5BF89E23,dhanyabad,dhanyabad,0,dhanyabad,ACCEPTABLE_PREFERRED
R3A-347C5BF89E23,dhanyabad,dhanyabad,1,धन्यवाद,ACCEPTABLE_PREFERRED
R3A-2D51C4838C53,of,of,0,of,ACCEPTABLE_PREFERRED
R3A-70E44521539E,qwerty,qwerty,0,qwerty,UNNATURAL_BUT_POSSIBLE
R3A-3E876C1291B7,qwerty,qwerty,0,qwerty,UNNATURAL_BUT_POSSIBLE
R3A-39EB0539DAC9,purchase,purchase,0,purchase,ACCEPTABLE_PREFERRED
R3A-A5F31D8C84CB,jaanu,jaanu,0,jaanu,ACCEPTABLE_PREFERRED
R3A-A5F31D8C84CB,jaanu,jaanu,1,जानु,ACCEPTABLE_PREFERRED
R3A-CC3C5545DFF2,sale,sale,0,sale,ACCEPTABLE_PREFERRED
R3A-CDED5E4068C3,advance,advance,0,एडभान्स,ACCEPTABLE_PREFERRED
R3A-CDED5E4068C3,advance,advance,1,advance,ACCEPTABLE_PREFERRED
R3A-FD1643D2A572,xyzzy,xyzzy,0,xyzzy,UNNATURAL_BUT_POSSIBLE
R3A-CBCF674A4003,report,report,0,report,ACCEPTABLE_PREFERRED
R3A-CBCF674A4003,report,report,1,रिपोर्ट,ACCEPTABLE_PREFERRED
