review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-00115a71a38e,Filter by refund then print the ledger summary,refund,,,,,,
V3R-001ef320fb87,grahak le kaha bare sodheko cha,kaha,,,,,,
V3R-00627a912296,Please update the box field in the English settings panel,box,,,,,,
V3R-0088d37c52ef,aaja debit ko hisab milaaidim ra baaki clear gara,debit,,,,,,
V3R-009343606ceb,bholi samma bill baaki clear garnu,bill,,,,,,
V3R-009d152a6a8b,aaja batch ko hisab milaaidim ra baaki clear gara,batch,,,,,,
V3R-00a27c7b18d3,Do not mutate protected token SERIAL-SN-V3-0001-R059 inside the posting draft case 59 (synthetic serial),SERIAL-SN-V3-0001-R059,,,,,,
V3R-00ad6c9afcef,Sync failed for dc queue — retry after backup,dc,,,,,,
V3R-00bb99e63bf6,alignment challenge 13: keep surface [a​aja] intact (zero-width space),a​aja,,,,,,
V3R-010a7c6242f1,Customer Sunita Magar paid by bank transfer yesterday (name case 7),Sunita,,,,,,
V3R-011f2afd37ef,hijo ko kamdar entry check gara,kamdar,,,,,,
V3R-014b2be7b273,Customer Dipesh Rai paid by bank transfer yesterday (name case 35),Dipesh,,,,,,
V3R-01723137b9ec,aaja cell ko hisab milaaidim ra baaki clear gara,cell,,,,,,
V3R-01af18155710,Enter GRN code in the tax panel without Devanagari rewrite (acr case 45),GRN,,,,,,
V3R-01cc63483126,bhatta ra paisa mismatch bhayo,bhatta,,,,,,
V3R-022322883e02,Keep budget as Latin identity for the ERP toolbar label,budget,,,,,,
V3R-0293a8baf6ef,Do not mutate protected token URL-https://example.test/eval/v3-R036 inside the posting draft case 36 (synthetic url token),URL-https://example.test/eval/v3-R036,,,,,,
V3R-02b564d9ed95,Enter LIFO code in the tax panel without Devanagari rewrite (acr case 19),LIFO,,,,,,
V3R-03258d1bb4fe,Please update the memo field in the English settings panel,memo,,,,,,
V3R-038aa6ea1c6c,Do not transliterate the word supplier in this English sentence,supplier,,,,,,
V3R-03c9ee6d0b73,check entry once before posting — context unclear,entry,,,,,,
V3R-0408bf6fda2b,aaja rule ko hisab milaaidim ra baaki clear gara,rule,,,,,,
V3R-0440024a8378,Please open the export module and export the report,export,,,,,,
V3R-044a42c49121,check group once before posting — context unclear,group,,,,,,
V3R-04c44b20f1e6,malik ji bonus report pathaunuhos,bonus,,,,,,
V3R-04f5b14e8c6e,aaja rupiya hisab milaaidim please,rupiya,,,,,,
V3R-050289bc3092,check download once before posting — context unclear,download,,,,,,
V3R-0555df527990,Customer Kiran Joshi paid by bank transfer yesterday (name case 39),Kiran,,,,,,
V3R-0586961cd689,Do not transliterate the word transfer in this English sentence,transfer,,,,,,
V3R-05ca2aabacf6,bholi samma ramro baaki clear garnu,ramro,,,,,,
V3R-05d221c77555,aaja floor ko hisab milaaidim ra baaki clear gara,floor,,,,,,
V3R-06629860db12,Customer Ajay Basnet paid by bank transfer yesterday (name case 45),Ajay,,,,,,
V3R-06691d5c9a30,Please update the path field in the English settings panel,path,,,,,,
