priority_rank,priority_hits,machine_suggested_decision,machine_suggestion_rationale,review_id,source_file_id,record_id,domain,language_form,raw_input,intent,operation_class,execution_allowed,quality_score,safety_correct,language_naturalness,intent_correct,accounting_correct,review_decision,review_status,reviewer_notes,reviewer_name,reviewed_at
1,"period,tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00869,0033,TIME-PERIOD-013,,romanized_nepali,tax period,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
2,"salary,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00592,0031,Q-GEN-000201,,romanized_nepali,salary thik cha,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
3,"salary,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00593,0031,Q-GEN-000202,,romanized_nepali,salary ko ho,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
4,"salary,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00594,0031,Q-GEN-000203,,romanized_nepali,salary kasle garyo,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
5,"security,accounting",defer,Insufficient signals; defer to human,HR-00180,0088,FIN-SECURITY-00002566,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
6,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00214,0023,GOLD.SEC.000001,SECURITY,romanized_nepali,<script>alert(1)</script>,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
7,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00215,0023,GOLD.SEC.000002,SECURITY,romanized_nepali,' OR 1=1 --,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
8,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00216,0023,GOLD.SEC.000003,SECURITY,romanized_nepali,rm -rf /,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
9,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00217,0023,GOLD.SEC.000004,SECURITY,romanized_nepali,../../etc/passwd,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
10,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00218,0023,GOLD.SEC.000005,SECURITY,romanized_nepali,"=HYPERLINK(""http://x"")",['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
11,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00219,0023,GOLD.SEC.000006,SECURITY,romanized_nepali,+CMD|...,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
12,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00220,0023,GOLD.SEC.000007,SECURITY,romanized_nepali,javascript:alert(1),['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
13,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00221,0023,GOLD.SEC.000008,SECURITY,romanized_nepali,value,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
14,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00222,0023,GOLD.SEC.000009,SECURITY,romanized_nepali,‮abc,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
