review_id,input_text,highlighted_span,span_class,preferred_rank_policy,devanagari_retention,confidence,reasoning
R3A-39CE6CDF4E01,by,by,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,It is English word
R3A-D928292459B8,foobar,foobar,INVALID_OR_UNCLEAR,CANNOT_DECIDE,CANNOT_DECIDE,MEDIUM,"I do not know whether it is in english or nepali, which language is it"
R3A-5F1F96BF1D8A,namaste,namaste,ROMANIZED_NEPALI,DEVANAGARI_TARGET_REQUIRED,REQUIRED,HIGH,Nepali term written in Romanized
R3A-E4A4DA896D92,debit,debit,ENGLISH_TERM,BOTH_EQUAL_REVIEW_REQUIRED,REQUIRED,HIGH,"In nepali also it can be romanized word with same meaning, it can  also be name of any human"
R3A-E5A7E27F52DC,is,is,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,English but can also come in connection with other words in Romanized english
R3A-08D2D9E18C3E,foobar,foobar,INVALID_OR_UNCLEAR,CANNOT_DECIDE,CANNOT_DECIDE,MEDIUM,"I do not know whether it is in english or nepali, which language is it, in any context it may have any meaning"
R3A-347C5BF89E23,dhanyabad,dhanyabad,ROMANIZED_NEPALI,DEVANAGARI_TARGET_REQUIRED,REQUIRED,HIGH,Nepali term written in Romanized
R3A-2D51C4838C53,of,of,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,English but can also come in connection with other words in Romanized english
R3A-70E44521539E,qwerty,qwerty,INVALID_OR_UNCLEAR,CANNOT_DECIDE,CANNOT_DECIDE,MEDIUM,"I do not know whether it is in english or nepali, which language is it, in any context it may have any meaning"
R3A-3E876C1291B7,qwerty,qwerty,INVALID_OR_UNCLEAR,CANNOT_DECIDE,CANNOT_DECIDE,MEDIUM,"I do not know whether it is in english or nepali, which language is it, in any context it may have any meaning"
R3A-39EB0539DAC9,purchase,purchase,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,English but can also come in connection with other words in Romanized english
R3A-A5F31D8C84CB,jaanu,jaanu,ROMANIZED_NEPALI,DEVANAGARI_TARGET_REQUIRED,REQUIRED,HIGH,Nepali term written in Romanized
R3A-CC3C5545DFF2,sale,sale,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,English but can also come in connection with other words in Romanized english
R3A-CDED5E4068C3,advance,advance,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,English but can also come in connection with other words in Romanized english
R3A-FD1643D2A572,xyzzy,xyzzy,INVALID_OR_UNCLEAR,CANNOT_DECIDE,CANNOT_DECIDE,MEDIUM,"I do not know whether it is in english or nepali, which language is it, in any context it may have any meaning"
R3A-CBCF674A4003,report,report,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,English but can also come in connection with other words in Romanized english
R3A-D81C5B5C3197,due,due,ENGLISH_TERM,LATIN_IDENTITY_REQUIRED,OPTIONAL,HIGH,English but can also come in connection with other words in Romanized english
