review_id,source_file_id,record_id,domain,language_form,raw_input,normalized_input,intent,operation_class,expected_behavior,execution_allowed,quality_score,duplicate_group,contradiction_group,language_naturalness,intent_correct,entities_correct,accounting_correct,safety_correct,reviewer_correction,reviewer_notes,reviewer_name,reviewed_at,review_status,review_decision,machine_precheck,machine_precheck_notes
HR-00001,0045,ADV-NEGSCOPE-0007762,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00002,0035,ADV.ABBR.00001,,romanized_nepali,DRCRPVJV,,,,,False,0.925,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00003,0078,ADV.AI.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00004,0050,ADV.AUD.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00005,0049,ADV.AUTH.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00006,0055,ADV.BANK.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00007,0061,ADV.BUD.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00008,0070,ADV.CFG.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00009,0065,ADV.CONS.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00010,0062,ADV.COST.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00011,0044,ADV.CRC.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00012,0043,ADV.DIA.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00013,0041,ADV.ENT.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00014,0048,ADV.ERR.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00015,0059,ADV.FA.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00016,0051,ADV.FILE.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00017,0064,ADV.FX.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00018,0022,ADV.GEN.00013,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00019,0022,ADV.GEN.00015,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00020,0040,ADV.INT.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00021,0056,ADV.INV.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00022,0066,ADV.LEASE.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00023,0024,ADV.LID.00003,,romanized_nepali,user@example.comko,,,,,False,0.925,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00024,0024,ADV.LID.00016,,romanized_nepali,NABlL,,,,,False,0.925,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00025,0069,ADV.MDM.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00026,0063,ADV.MFG.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00027,0047,ADV.MUT.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00028,0052,ADV.NOTIF.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
HR-00029,0057,ADV.PAY.00001,,romanized_nepali,,,,,,False,0.8875,,,,,,,pass_structural,,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,,pending_human_after_machine_precheck,,structural_ok_pending_human,execution_allowed=false; language/accounting fields left for human reviewer
