review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-0144779dffa0,branch ledger: monthly entry ra hajurko baaki milaaune,hajurko,,,,,,
V3R-0228296f375e,Please update the duty field in the English settings panel,duty,,,,,,
V3R-0286e45724ec,Please update the match field in the English settings panel,match,,,,,,
V3R-031a92ca68a7,aaja post ko hisab milaaidim ra baaki clear gara,post,,,,,,
V3R-035b2c80b5b1,Do not transliterate the word audit in this English sentence,audit,,,,,,
V3R-03e8397435fb,Accounting staff asked about quarter settings in Ask MokXya,quarter,,,,,,
V3R-043586fd5df0,Please update the label field in the English settings panel,label,,,,,,
V3R-05105636435e,check bank once before posting — context unclear,bank,,,,,,
V3R-05242bb9eb94,check lot once before posting — context unclear,lot,,,,,,
V3R-057662827656,aaja cash ko hisab milaaidim ra baaki clear gara,cash,,,,,,
V3R-05a7dc77b970,aaja pass ko hisab milaaidim ra baaki clear gara,pass,,,,,,
V3R-05cb2a080641,check graph once before posting — context unclear,graph,,,,,,
V3R-0606c086fc8e,aaja condition ko hisab milaaidim ra baaki clear gara,condition,,,,,,
V3R-0614d057399a,check mail once before posting — context unclear,mail,,,,,,
V3R-0630f37bbd07,aaja balance ko hisab milaaidim ra baaki clear gara,balance,,,,,,
V3R-07c7de2cb07c,check post once before posting — context unclear,post,,,,,,
V3R-085639d1a2e2,aaja shift ko hisab milaaidim ra baaki clear gara,shift,,,,,,
V3R-0939753a1192,check agenda once before posting — context unclear,agenda,,,,,,
V3R-0984a2cb9622,check folder once before posting — context unclear,folder,,,,,,
V3R-09bc92a74e9d,aaja select ko hisab milaaidim ra baaki clear gara,select,,,,,,
V3R-0a239fdca995,branch ledger: restore entry ra thulo baaki milaaune,restore,,,,,,
V3R-0b0f93368279,check passbook once before posting — context unclear,passbook,,,,,,
V3R-0b6374e79a5a,aaja debit ko hisab milaaidim ra baaki clear gara,debit,,,,,,
V3R-0bbf177ddeb6,Please update the cash field in the English settings panel,cash,,,,,,
V3R-0c2c18712298,check flag once before posting — context unclear,flag,,,,,,
V3R-0c3f8305c233,Create a draft payroll and leave it unposted,payroll,,,,,,
V3R-0c6bafa4fe74,check rule once before posting — context unclear,rule,,,,,,
V3R-0cbfbbc5f37e,Please update the node field in the English settings panel,node,,,,,,
V3R-0cee521fe329,Sync failed for creditnote queue — retry after backup,creditnote,,,,,,
V3R-0d615e158fd1,check bag once before posting — context unclear,bag,,,,,,
V3R-0d9a9bec6c99,check file once before posting — context unclear,file,,,,,,
V3R-0e007c1b4e83,branch ledger: opening entry ra bata baaki milaaune,opening,,,,,,
V3R-0e9baa70235d,branch ledger: posted entry ra hamro baaki milaaune,posted,,,,,,
V3R-0f199b5b76a8,Please update the page field in the English settings panel,page,,,,,,
V3R-0fe968d0e334,Do not transliterate the word estimate in this English sentence,estimate,,,,,,
V3R-10c330b85032,The subtotal status must remain pending until confirm,subtotal,,,,,,
V3R-1177de629b8b,The liability status must remain pending until confirm,liability,,,,,,
V3R-120d96b361ba,branch ledger: closing entry ra sanga baaki milaaune,sanga,,,,,,
V3R-121e516a91bd,branch ledger: salary entry ra udharo baaki milaaune,salary,,,,,,
V3R-12445c86782d,branch ledger: purchase entry ra garaidim baaki milaaune,purchase,,,,,,
V3R-12d94252c26f,aaja query ko hisab milaaidim ra baaki clear gara,query,,,,,,
V3R-133124e7f16d,Please update the entry field in the English settings panel,entry,,,,,,
V3R-13905509c95f,Please update the edge field in the English settings panel,edge,,,,,,
V3R-139736cb8e75,Please update the limit field in the English settings panel,limit,,,,,,
V3R-144026a3d23e,aaja bond ko hisab milaaidim ra baaki clear gara,bond,,,,,,
V3R-145efc4a0550,branch ledger: branch entry ra hunxa baaki milaaune,branch,,,,,,
V3R-146a08280ca1,check entry once before posting — context unclear,entry,,,,,,
V3R-149c878fb952,check ticket once before posting — context unclear,ticket,,,,,,
V3R-14a11f3324b4,Please update the code field in the English settings panel,code,,,,,,
V3R-151d46813145,Filter by PAN then print the ledger summary,PAN,,,,,,
V3R-15740d9bf5ee,Create a draft accrual and leave it unposted,accrual,,,,,,
