review_id,input_text,highlighted_span,candidate_index,candidate_surface,acceptability,reviewer_entered_candidate,notes
V3R-00218c5a6133,Do not mutate protected token IMEI-356938035643809-R038 inside the posting draft case 38 (synthetic device id),IMEI-356938035643809-R038,0,IMEI-356938035643809-R038,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-00218c5a6133,Do not mutate protected token IMEI-356938035643809-R038 inside the posting draft case 38 (synthetic device id),IMEI-356938035643809-R038,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0064c17be438,Enter HSN code in the tax panel without Devanagari rewrite (acr case 4),HSN,0,HSN,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0064c17be438,Enter HSN code in the tax panel without Devanagari rewrite (acr case 4),HSN,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0081d5f50a9b,bholi samma rupiya baaki clear garnu,rupiya,0,Rupiya,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0081d5f50a9b,bholi samma rupiya baaki clear garnu,rupiya,1,rupiya,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0081d5f50a9b,bholi samma rupiya baaki clear garnu,rupiya,2,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-00f4da88f0a7,review shared surface id in mixed shop note before close,id,0,id,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-00f4da88f0a7,review shared surface id in mixed shop note before close,id,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-010cdc75f551,check group once before posting — context unclear,group,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-010cdc75f551,check group once before posting — context unclear,group,1,group,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-010cdc75f551,check group once before posting — context unclear,group,2,group_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
