review_id,input_text,highlighted_span,candidate_index,candidate_surface,acceptability,reviewer_entered_candidate,notes
V3R-0144779dffa0,branch ledger: monthly entry ra hajurko baaki milaaune,hajurko,0,hajurko,,,
V3R-0144779dffa0,branch ledger: monthly entry ra hajurko baaki milaaune,hajurko,1,NONE_ACCEPTABLE,,,
V3R-0144779dffa0,branch ledger: monthly entry ra hajurko baaki milaaune,hajurko,2,monthly,,,
V3R-0228296f375e,Please update the duty field in the English settings panel,duty,0,duty,,,
V3R-0228296f375e,Please update the duty field in the English settings panel,duty,1,NONE_ACCEPTABLE,,,
V3R-0228296f375e,Please update the duty field in the English settings panel,duty,2,duty_alt,,,
V3R-0228296f375e,Please update the duty field in the English settings panel,duty,3,DUTY,,,
V3R-0286e45724ec,Please update the match field in the English settings panel,match,0,MATCH,,,
V3R-0286e45724ec,Please update the match field in the English settings panel,match,1,match_alt,,,
V3R-0286e45724ec,Please update the match field in the English settings panel,match,2,NONE_ACCEPTABLE,,,
V3R-0286e45724ec,Please update the match field in the English settings panel,match,3,match,,,
V3R-031a92ca68a7,aaja post ko hisab milaaidim ra baaki clear gara,post,0,NONE_ACCEPTABLE,,,
V3R-031a92ca68a7,aaja post ko hisab milaaidim ra baaki clear gara,post,1,post_alt,,,
V3R-031a92ca68a7,aaja post ko hisab milaaidim ra baaki clear gara,post,2,POST,,,
V3R-031a92ca68a7,aaja post ko hisab milaaidim ra baaki clear gara,post,3,post,,,
V3R-035b2c80b5b1,Do not transliterate the word audit in this English sentence,audit,0,audit,,,
V3R-035b2c80b5b1,Do not transliterate the word audit in this English sentence,audit,1,NONE_ACCEPTABLE,,,
V3R-03e8397435fb,Accounting staff asked about quarter settings in Ask MokXya,quarter,0,quarter,,,
V3R-03e8397435fb,Accounting staff asked about quarter settings in Ask MokXya,quarter,1,NONE_ACCEPTABLE,,,
V3R-043586fd5df0,Please update the label field in the English settings panel,label,0,LABEL,,,
V3R-043586fd5df0,Please update the label field in the English settings panel,label,1,label,,,
V3R-043586fd5df0,Please update the label field in the English settings panel,label,2,label_alt,,,
V3R-043586fd5df0,Please update the label field in the English settings panel,label,3,NONE_ACCEPTABLE,,,
V3R-05105636435e,check bank once before posting — context unclear,bank,0,BANK,,,
V3R-05105636435e,check bank once before posting — context unclear,bank,1,bank,,,
V3R-05105636435e,check bank once before posting — context unclear,bank,2,bank_alt,,,
V3R-05105636435e,check bank once before posting — context unclear,bank,3,NONE_ACCEPTABLE,,,
V3R-05242bb9eb94,check lot once before posting — context unclear,lot,0,LOT,,,
