packet_rank,record_id,source_file_id,priority_hits,machine_suggested_decision,raw_input,intent,execution_allowed,review_decision,reviewer_notes,reviewer_name
1,TIME-PERIOD-013,0033,"period,tax,accounting",needs_clarification,tax period,,False,,,
2,CONN-COND-000202,0039,"vat,accounting",needs_clarification,yadi VAT applicable cha bhane save gara,,False,,,
3,CONN-COND-000205,0039,"vat,accounting",needs_clarification,VAT applicable cha bhane payment gara,,False,,,
4,CONN-COND-000206,0039,"vat,accounting",needs_clarification,yadi VAT applicable cha bhane payment gara,,False,,,
5,CONN-COND-000207,0039,"vat,accounting",needs_clarification,VAT applicable cha nabhaye payment gara,,False,,,
6,CONN-COND-000211,0039,"vat,accounting",needs_clarification,VAT applicable cha nabhaye invoice bana,,False,,,
7,CS-NUM-004,0025,"vat,accounting",needs_clarification,13% VAT,,False,,,
8,CS-TXN-0016,0025,"tds,accounting",needs_clarification,TDS deduct gara,,False,,,
9,MIX-PROT-0015,0036,"vat,accounting",needs_clarification,VAT-123456789,,False,,,
10,NUM-ERP-010,0032,"tds,accounting",needs_clarification,TDS 1.5%,,False,,,
11,NUM-PROT-007,0032,"vat,accounting",needs_clarification,VAT 123456789,,False,,,
12,Q-DEF-007,0031,"tds,accounting",needs_clarification,TDS k ho,,False,,,
13,Q-EXT-000138,0031,"vat,accounting",needs_clarification,VAT kati,,False,,,
14,Q-EXT-000144,0031,"vat,accounting",needs_clarification,VAT ho?,,False,,,
15,Q-EXT-000149,0031,"tds,accounting",needs_clarification,TDS kina,,False,,,
16,Q-EXT-000152,0031,"tds,accounting",needs_clarification,TDS ho?,,False,,,
17,Q-GEN-000208,0031,"vat,accounting",needs_clarification,VAT kaha cha,,False,,,
18,Q-PROC-010,0031,"tds,accounting",needs_clarification,TDS entry kasari garne,,False,,,
19,Q-YN-0012,0031,"tds,accounting",needs_clarification,TDS katnu parcha?,,False,,,
20,ADV.TAX.00001,0060,"tax,accounting",needs_clarification,,,False,,,
21,LEX-ROM-HF-000222,0019,"tax,accounting",needs_clarification,,,False,,,
22,LID-LATIN-00021,0024,"tax,accounting",needs_clarification,tax,,False,,,
23,MIX-TAX-007,0036,"tax,accounting",needs_clarification,,,False,,,
24,MIX-TAX-028,0036,"tax,accounting",needs_clarification,,,False,,,
25,NAME-TAX-007,0034,"tax,accounting",needs_clarification,,,False,,,
