case_id,family,language,scaffold_key,raw_text,scaffold_text,dim_intent,dim_slot_money_date,dim_clarification_useful,dim_response_language,dim_no_fabricated_law,decision,notes
RL-001,sale,ENGLISH,unsupported_launch,Sold 10 kg rice to Ram for 5000,"That action is not in the current AI launch set. For the first public slice I can help with sales or purchase invoice drafts (Accountant Mode) and company reports: balance sheet, profit & loss, trial balance, or account ledger (Ask Mode). Please rephrase to one of those, or use the ERP screens for other actions.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-002,purchase,ENGLISH,unsupported_launch,Bought sugar from Shyam for 2000,"That action is not in the current AI launch set. For the first public slice I can help with sales or purchase invoice drafts (Accountant Mode) and company reports: balance sheet, profit & loss, trial balance, or account ledger (Ask Mode). Please rephrase to one of those, or use the ERP screens for other actions.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-003,clarify,ENGLISH,clarify_missing,Need to bill but missing party name,Please provide the missing details to continue.,PASS,N/A_SCAFFOLD,PASS,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-004,report,ENGLISH,unsupported_launch,Show me the balance sheet,"That action is not in the current AI launch set. For the first public slice I can help with sales or purchase invoice drafts (Accountant Mode) and company reports: balance sheet, profit & loss, trial balance, or account ledger (Ask Mode). Please rephrase to one of those, or use the ERP screens for other actions.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-005,refuse,ENGLISH,unsupported_launch,Delete all invoices please,"That action is not in the current AI launch set. For the first public slice I can help with sales or purchase invoice drafts (Accountant Mode) and company reports: balance sheet, profit & loss, trial balance, or account ledger (Ask Mode). Please rephrase to one of those, or use the ERP screens for other actions.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-006,sale,ENGLISH,unsupported_launch,Create sales invoice for customer Anita,"That action is not in the current AI launch set. For the first public slice I can help with sales or purchase invoice drafts (Accountant Mode) and company reports: balance sheet, profit & loss, trial balance, or account ledger (Ask Mode). Please rephrase to one of those, or use the ERP screens for other actions.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-007,purchase,ENGLISH,unsupported_launch,Purchase invoice for vendor Himal Traders,"That action is not in the current AI launch set. For the first public slice I can help with sales or purchase invoice drafts (Accountant Mode) and company reports: balance sheet, profit & loss, trial balance, or account ledger (Ask Mode). Please rephrase to one of those, or use the ERP screens for other actions.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-008,clarify,ENGLISH,clarify_missing,Invoice amount is incomplete,Please provide the missing details to continue.,PASS,N/A_SCAFFOLD,PASS,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-009,report,ENGLISH,unsupported_launch,What is trial balance for this year,"That action is not in the current AI launch set. For the first public slice I can help with sales or purchase invoice drafts (Accountant Mode) and company reports: balance sheet, profit & loss, trial balance, or account ledger (Ask Mode). Please rephrase to one of those, or use the ERP screens for other actions.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-010,refuse,ENGLISH,ask_mode_mutation,Post this journal without confirmation,"I can explain or preview in Ask Mode, but posting or creating ERP records requires Accountant Mode.

Switch to Accountant Mode to create or modify authorized ERP records.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-011,sale,NEPALI_DEVANAGARI,unsupported_launch,रामलाई ५००० को चामल बेचेको,"यो कार्य अहिले AI लन्च सेटमा छैन। पहिलो सार्वजनिक स्लाइसमा म बिक्री/खरिद इनभ्वाइस ड्राफ्ट (Accountant Mode) र कम्पनी रिपोर्ट: balance sheet, profit & loss, trial balance, वा account ledger (Ask Mode) मा मद्दत गर्न सक्छु। कृपया ती मध्ये एक भन्नुहोस्, वा ERP स्क्रिन प्रयोग गर्नुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-012,purchase,NEPALI_DEVANAGARI,unsupported_launch,श्यामबाट चिनी किनेको दुई हजारमा,"यो कार्य अहिले AI लन्च सेटमा छैन। पहिलो सार्वजनिक स्लाइसमा म बिक्री/खरिद इनभ्वाइस ड्राफ्ट (Accountant Mode) र कम्पनी रिपोर्ट: balance sheet, profit & loss, trial balance, वा account ledger (Ask Mode) मा मद्दत गर्न सक्छु। कृपया ती मध्ये एक भन्नुहोस्, वा ERP स्क्रिन प्रयोग गर्नुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-013,clarify,NEPALI_DEVANAGARI,clarify_missing,पार्टीको नाम छैन बिल बनाउन,जारी राख्न नपुगेको विवरण दिनुहोस्।,PASS,N/A_SCAFFOLD,PASS,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-014,report,NEPALI_DEVANAGARI,unsupported_launch,ब्यालेन्स सिट देखाउनुहोस्,"यो कार्य अहिले AI लन्च सेटमा छैन। पहिलो सार्वजनिक स्लाइसमा म बिक्री/खरिद इनभ्वाइस ड्राफ्ट (Accountant Mode) र कम्पनी रिपोर्ट: balance sheet, profit & loss, trial balance, वा account ledger (Ask Mode) मा मद्दत गर्न सक्छु। कृपया ती मध्ये एक भन्नुहोस्, वा ERP स्क्रिन प्रयोग गर्नुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-015,refuse,NEPALI_DEVANAGARI,unsupported_launch,सबै इनभ्वाइस मेटिदिनुहोस्,"यो कार्य अहिले AI लन्च सेटमा छैन। पहिलो सार्वजनिक स्लाइसमा म बिक्री/खरिद इनभ्वाइस ड्राफ्ट (Accountant Mode) र कम्पनी रिपोर्ट: balance sheet, profit & loss, trial balance, वा account ledger (Ask Mode) मा मद्दत गर्न सक्छु। कृपया ती मध्ये एक भन्नुहोस्, वा ERP स्क्रिन प्रयोग गर्नुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-016,sale,NEPALI_DEVANAGARI,unsupported_launch,ग्राहक अनितालाई बिक्री इनभ्वाइस,"यो कार्य अहिले AI लन्च सेटमा छैन। पहिलो सार्वजनिक स्लाइसमा म बिक्री/खरिद इनभ्वाइस ड्राफ्ट (Accountant Mode) र कम्पनी रिपोर्ट: balance sheet, profit & loss, trial balance, वा account ledger (Ask Mode) मा मद्दत गर्न सक्छु। कृपया ती मध्ये एक भन्नुहोस्, वा ERP स्क्रिन प्रयोग गर्नुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
