opaque_review_id,input_text,highlighted_span,context_note,disposition,confidence,reviewer_notes
"R3L-6986c60fabade020","branch ledger: profit entry ra jabaj baaki milaaune","jabaj","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-fa77931340064c71","Accounting staff asked about ledger settings in Ask MokXya","ledger","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-3b61609d8d3f0e2e","Accounting staff asked about customer settings in Ask MokXya","customer","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-6c0f02d36c90e16e","Keep vendor as Latin identity for the ERP toolbar label","vendor","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-290f0bd4a3d2ebba","Keep budget as Latin identity for the ERP toolbar label","budget","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-b55a4485df1e04f4","Accounting staff asked about tax settings in Ask MokXya","tax","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-7964087871056707","grahak le jabaj bare sodheko cha","jabaj","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-d6844aa9613f7692","jabaj ra paisa mismatch bhayo","jabaj","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-276151d4e53829b4","branch ledger: VAT entry ra aamdani baaki milaaune","VAT","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-57fe3b723d78b295","branch ledger: adjustment entry ra pachi baaki milaaune","pachi","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-7edd80514bdea1cf","branch ledger: bonus entry ra baaki baaki milaaune","baaki","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-fcd8241bc5efa3b6","branch ledger: pending entry ra tyasari baaki milaaune","tyasari","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-2f7edac8df370a1b","branch ledger: monthly entry ra hajurko baaki milaaune","hajurko","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-b4f640335de155b0","branch ledger: PAN entry ra nafa baaki milaaune","nafa","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-a5b4055c731be1d7","branch ledger: template entry ra kehi baaki milaaune","kehi","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-c569eac82d7f1168","branch ledger: customer entry ra thaha baaki milaaune","thaha","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-15f38472612d6fea","branch ledger: debit entry ra raati baaki milaaune","raati","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-dbcc72eeed962d61","branch ledger: discount entry ra pathau baaki milaaune","pathau","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-2efd9b1fb8832009","branch ledger: approve entry ra kinabhane baaki milaaune","kinabhane","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-ec5c12234bb716bb","branch ledger: branch entry ra hunxa baaki milaaune","branch","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-26b74849a4a5734e","Please update the field field in the English settings panel","field","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-69261a81e02afb96","check bill once before posting — context unclear","bill","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-5f29e1d3885bb215","check check once before posting — context unclear","check","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-0bec29f0310d9ffe","check post once before posting — context unclear","post","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-2ebfa476770bb8f6","Please update the set field in the English settings panel","set","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-ab2529b5838feb54","Please open the export module and export the report","export","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-49611a11c8c7aaf0","Do not mutate protected token TXN-SYN-778899-R064 inside the posting draft case 64 (synthetic transaction token)","TXN-SYN-778899-R064","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-79015312a057865d","Do not mutate protected token SERIAL-SN-V3-0001-R039 inside the posting draft case 39 (synthetic serial)","SERIAL-SN-V3-0001-R039","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-3a938b5dec77fd2f","Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R047 inside the posting draft case 47 (synthetic uuid)","UUID-00000000-0000-4000-8000-000000000001-R047","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-89a8c6ca849671fd","Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R097 inside the posting draft case 97 (synthetic uuid)","UUID-00000000-0000-4000-8000-000000000001-R097","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-154b79e0da4bdae4","Do not mutate protected token ACC-SYN-100200-R082 inside the posting draft case 82 (synthetic account token)","ACC-SYN-100200-R082","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-45cc5788513c7fb3","aaja aaja hisab milaaidim please","aaja","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-39cfdc200e965c7b","malik ji noksan report pathaunuhos","noksan","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-38f33b66869b0019","malik ji tapai report pathaunuhos","tapai","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-6eba9b6908067bd4","hijo ko hijo entry check gara","hijo","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-836cb84afeafa40c","branch ledger: freight entry ra bola baaki milaaune","freight","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-913016f7cf7460c8","branch ledger: amortization entry ra aile baaki milaaune","amortization","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-be17ee490e8bcd8f","branch ledger: supplier entry ra bujhe baaki milaaune","supplier","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-9bc525b00d553ec7","branch ledger: weekly entry ra malai baaki milaaune","weekly","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-3fc3eba3258588ac","Enter VAT code in the tax panel without Devanagari rewrite (acr case 1)","VAT","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-6bb1fe9a486a3115","Enter MRP code in the tax panel without Devanagari rewrite (acr case 47)","MRP","Neutral diagnostic sample. Assign disposition independently.","","",""
